Feature Name,Score,Code Description
1id76muxxn,-0.2956911770284442,"{'Bypass, aorta NEC using synthetic material bypass terminating in abdominal vessels (e.g. celiac, ren'}"
1gj77lalg,-0.29128587334138634,"{'Bypass with exteriorization, trachea using open approach and temporary implant'}"
1gz31caep,-0.2879736121337387,"{'Ventilation, respiratory system NEC using invasive per orifice approach by endotracheal intubation m', 'Ventilation, respiratory system NEC invasive per orifice approach by (endotracheal) intubation manua'}"
s0130,-0.2841720749777745,"{'Open wound of ear, uncomplicated'}"
1ef80lanwa,-0.2835186730054351,"{'Repair, maxilla with mandible open approach using plate, screw device (with/without wire/mesh) with '}"
1wa74lanwa,-0.28061598234191704,"{'Fixation, ankle joint open approach with bone autograft using screw, plate and screw', 'Fixation, ankle joint open approach fixation device alone using screw, plate and screw'}"
v204,-0.2760559311729855,"{'Motorcycle rider injured in collision with pedestrian or animal, driver, traffic accident'}"
d34,-0.27480285834112766,{'Benign neoplasm of thyroid gland'}
m4317,-0.267131713870157,"{'Spondylolisthesis, lumbosacral region'}"
o72002,-0.2647817630373139,"{'Third-stage haemorrhage, delivered, with mention of postpartum complication'}"
1ob52hats,0.2640712505362333,"{'Drainage, spleen using percutaneous [needle] approach leaving drainage tube in situ'}"
z488,-0.2633102248056232,{'Other specified surgical follow-up care'}
k074,-0.2622581218585111,"{'Malocclusion, unspecified'}"
k0761,-0.2576422653555122,{'Articular disc disorder of the temporomandibular joint'}
e049,-0.25666382811334665,"{'Nontoxic goitre, unspecified'}"
1id80laxxn,-0.2557715455035467,"{'Repair, aorta NEC open approach using synthetic material [e.g. Teflon felt, Dacron, Nylon, Orlon]', 'Repair, aorta NEC using open approach and synthetic material (e.g. elephant, snorkel graft)'}"
j398,-0.25538582806316407,{'Other specified diseases of upper respiratory tract'}
c5041,-0.2546180706724552,{'Malignant neoplasm of upper-outer quadrant of left breast'}
1af87da,-0.25207867503860915,"{'Excision partial, pituitary region endoscopic (via sinus) approach without  tissue'}"
v284,-0.2498654269115024,"{'Motorcycle rider injured in noncollision transport accident, driver, traffic accident'}"
n481,-0.24730584594774735,{'Balanoposthitis'}
o26603,-0.24687892561018482,"{'Liver disorders in pregnancy, childbirth and the puerperium, antepartum condition or complication'}"
o42121,-0.24604625855462992,"{'Premature rupture of membranes, onset of labour after 24 hours. delivered, with or without mention o'}"
q359,-0.24433534292322195,"{'Cleft palate, unspecified'}"
w30,-0.24361740695291156,{'Contact with agricultural machinery'}
m7267,-0.23949232813151428,"{'Necrotizing fasciitis, ankle and foot'}"
1nm87wj,-0.23900692721226394,"{'Excision partial, large intestine open approach special excisional technique (without anastomosis)', 'Excision partial, large intestine open approach special excisional (segmental) technique without ana'}"
1va53lapmq,-0.23874318978339193,"{'Implantation of internal device, hip joint open approach (direct lateral, posterolateral, posterior,', 'Implantation of internal device, hip joint open approach using combined sources of tissue (e.g. bone'}"
g039,-0.23691900337346644,"{'Meningitis due to other specified causes', 'Meningitis, unspecified'}"
o14101,-0.23544876614826293,"{'Severe pre-eclampsia, delivered, with or without mention of antepartum condition'}"
1gw52la,-0.2322312557192484,"{'Drainage, mediastinum using open approach'}"
h903,-0.23088076320045525,"{'Sensorineural hearing loss, bilateral'}"
2mf71la,-0.2308552169594024,"{'Biopsy, lymph node(s), intrathoracic NEC using open approach', 'Biopsy, intrathoracic lymph nodes using open approach'}"
n3930,-0.22982108997718642,{'Mixed incontinence'}
j982,-0.2290845140911728,{'Interstitial emphysema'}
1ee87lanwf,-0.22554172362642516,"{'Excision partial, mandible open approach using plate, screw device (with/without wire/mesh) with fre'}"
s02670,-0.22530361221782105,"{'Multiple mandibular fracture sites, closed'}"
1ot87da,-0.22091633256124607,"{'Biopsy, abdominal cavity using endoscopic [laparoscopic] approach', 'Excision partial, abdominal cavity using endoscopic [laparoscopic] approach'}"
o32801,-0.22002833050498366,"{'Maternal care for other malpresentation of fetus, delivered, with or without mention of antepartum c'}"
g319,-0.21979255737538447,"{'Degenerative disease of nervous system, unspecified'}"
m2501,0.21898921959324633,"{'Haemarthrosis, shoulder region'}"
1va53lasln,-0.2189462869391996,"{'Implantation of internal device, hip joint open approach (direct lateral, posterolateral, posterior,', 'Implantation of internal device, hip joint open approach using synthetic material (e.g. bone paste, '}"
t888,-0.21763533458975243,"{'Other specified complications of surgical and medical care, not elsewhere classified'}"
r80,-0.21726900878043892,{'Isolated proteinuria'}
o36031,-0.21681171520363243,"{'Maternal care for rhesus isoimmunization, third trimester, delivered, with or without mention of ant'}"
v180,-0.21567550540318903,"{'Pedal cyclist injured in noncollision transport accident, driver, nontraffic accident'}"
m2576,-0.21309972315551676,"{'Osteophyte, lower leg'}"
1tm73la,-0.2112472256682593,"{'Reduction, elbow joint using open approach'}"
h71,-0.20782300164004675,{'Cholesteatoma of middle ear'}
1df80xgxxa,-0.20549426221426367,"{'Repair, tympanic membrane using full thickness autograft [e.g. fascia], tympanoplasty type 1'}"
n485,-0.2048762836790695,{'Ulcer of penis'}
1ed80lanw,-0.20476105545362253,"{'Repair, maxilla open approach using plate, screw device (with/without wire/mesh) no tissue used in r'}"
1gy72da,-0.20466502855208676,"{'Release, thoracic cavity NEC using endoscopic approach'}"
1nk52la,-0.20362598683899527,"{'Drainage, small intestine open approach aspiration [suction] technique'}"
j339,-0.1986674848083561,"{'Nasal polyp, unspecified'}"
k388,-0.197979630803928,{'Other specified diseases of appendix'}
m6594,-0.1972970370816111,"{'Synovitis and tenosynovitis, unspecified, hand'}"
z38011,-0.19657679898761113,"{'Singleton born in hospital, product of assisted reproductive technology (ART), delivered by caesarea'}"
m0006,-0.19620301400851364,"{'Staphylococcal arthritis and polyarthritis, lower leg'}"
1pg57bagx,-0.19610709718673264,"{'Extraction, ureter using endoscopic per orifice approach (transurethral) and other device  [e.g. for'}"
1cj56la,-0.19414411577242804,"{'Removal of foreign body, anterior chamber (of eye) using open approach'}"
k469,-0.1941052698645691,{'Unspecified abdominal hernia without obstruction or gangrene'}
n888,-0.19355451462877252,{'Other specified noninflammatory disorders of cervix uteri'}
l050,-0.19159581041011745,{'Pilonidal cyst with abscess'}
h810,-0.1909994130930027,"{""Ménière's disease""}"
b977,-0.19029367952051876,{'Papillomavirus as the cause of diseases classified to other chapters'}
p929,-0.18978317822541269,"{'Feeding problem of newborn, unspecified'}"
General Medicine,0.1897781268844779,N/A
m8696,-0.18877492495319692,"{'Osteomyelitis, unspecified, lower leg'}"
1oa13la,-0.18868264895645628,"{'Control of bleeding, liver open approach using manual pressure, suturing or packing'}"
s72300,-0.188443883344123,"{'Fracture of shaft of femur, closed'}"
1na52ba,-0.18753538213440812,"{'Drainage, esophagus using endoscopic per orifice approach and aspiration'}"
p025,-0.18726411330492435,{'Fetus and newborn affected by other compression of umbilical cord'}
k0713,-0.18578966364469607,{'Mandibular retrognathism'}
g249,-0.18519747990980256,"{'Dystonia, unspecified'}"
5md54kj,-0.18453828445759818,"{'Vacuum traction, with episiotomy outlet vacuum traction'}"
q531,-0.1835007752181683,"{'Undescended testicle, unilateral'}"
o63001,-0.1827560061886991,"{'Prolonged first stage (of labour), delivered, with or without mention of antepartum condition'}"
1fm89vw,-0.1811733942088968,"{'Excision total, parotid gland using open approach with preservation of facial nerve technique'}"
m6596,-0.18098240623173137,"{'Synovitis and tenosynovitis, unspecified, lower leg'}"
z37000,-0.18096832410613753,"{'Single live birth, pregnancy resulting from both spontaneous ovulation and conception'}"
y497,-0.1809553449366245,{'Psychostimulants with abuse potential causing adverse effect in therapeutic use'}
1cl89vrlm,-0.18061661694060166,"{'Excision total, lens phacoemulsification with posterior chamber folded lens prosthesis inserted', 'Excision total, lens with posterior chamber folded lens prosthesis inserted phacoemulsification', 'Excision total, lens extracapsular phakoemulsification technique with insertion of  folded posterior'}"
t241,-0.1803888426643832,"{'Burn of first degree of hip and lower limb, except ankle and foot'}"
g211,-0.18033006778007415,{'Other drug-induced secondary parkinsonism'}
e1136,-0.18030749897254747,{'Type 2 diabetes mellitus with advanced ophthalmic disease'}
n858,-0.1802182725176563,"{'Other specified noninflammatory disorders of uterus', 'Endometrial adenomatous hyperplasia'}"
j310,-0.1799559056613855,{'Chronic rhinitis'}
1dm53lall,-0.17972218185405392,"{'Implantation of internal device, cochlea of multi-channel cochlear implant'}"
w54,-0.1793363182015046,{'Bitten or struck by dog'}
i452,-0.17933164257655443,{'Bifascicular block'}
h313,-0.17891291614549207,{'Choroidal haemorrhage and rupture'}
m754,-0.17876210501232564,{'Impingement syndrome of shoulder'}
k644,-0.17830266465010378,{'Residual haemorrhoidal skin tags'}
alc_days,-0.1780616824302856,N/A
a045,-0.17766396910082463,{'Campylobacter enteritis'}
1ga87baag,-0.17696961668811095,"{'Excision partial, glottis using endoscopic per orifice approach and laser'}"
Family Practice,0.17651467505406443,N/A
k279,-0.17618456859873594,"{'Peptic ulcer, unspecified as acute or chronic, without haemorrhage or perforation'}"
m8611,0.17524902636783976,"{'Other acute osteomyelitis, shoulder region'}"
5ac30yai2,-0.1749035494247882,"{'Induction of labour using administration of oxytocic agent, route NEC', 'Induction of labour, using administration of uterotonic agent route NEC'}"
i510,-0.17366875750803001,"{'Cardiac septal defect, acquired'}"
k0763,-0.1734084214922589,{'Arthralgia of temporomandibular joint'}
m6282,-0.17292232022151813,"{'Other specified disorders of muscle, upper arm'}"
h812,-0.17280595763154966,{'Vestibular neuronitis'}
c5020,-0.17275324390691207,{'Malignant neoplasm of upper-inner quadrant of right breast'}
k6420,-0.17220710871545736,"{'Third degree haemorrhoids, uncomplicated'}"
1gj52catj,-0.17167318349128682,"{'Drainage, trachea using per orifice approach with suction device'}"
1sc74llnw,-0.17165950546420253,"{'Fixation, spinal vertebrae open anterior (anterolateral) approach using screw, screw with plate or r', 'Fixation, spinal vertebrae open anterior approach [Includes: anterolateral or transoral approach] us'}"
d373,-0.17157956505572872,{'Neoplasm of uncertain or unknown behaviour of appendix'}
c098,-0.17116680434328763,{'Overlapping malignant lesion of tonsil'}
1ee87la,-0.1708402425776573,"{'Excision partial, mandible open approach no tissue used (for defect closure)'}"
1hn80gpfl,-0.17050917133112853,"{'Repair, interatrial septum using percutaneous transluminal approach with double umbrella device [e.g'}"
1tb87la,-0.17031298590168406,"{'Excision partial, acromioclavicular and sternoclavicular joints using open approach'}"
1zz35hap1,-0.16884224551347268,"{'Pharmacotherapy, total body nervous system agents using anesthetic agent percutaneous approach [intr'}"
v280,-0.1687114714271353,"{'Motorcycle rider injured in noncollision transport accident, driver, nontraffic accident'}"
1zz35cam9,-0.1683019718317041,"{'Pharmacotherapy, total body antineoplastic and immunomodulating agentsper orifice (oral) approach Co'}"
n802,-0.1679680571141504,{'Endometriosis of fallopian tube'}
m0086,-0.1678721023928668,"{'Arthritis and polyarthritis due to other specified bacterial agents, lower leg'}"
Unplanned Readmit,0.1676645443726364,N/A
g9381,-0.16733395538592805,{'Neurologically determined death'}
d480,-0.16687175494532214,{'Neoplasm of uncertain or unknown behaviour of bone and articular cartilage'}
q828,-0.1665361327866027,{'Other specified congenital malformations of skin'}
o034,-0.16581808904731812,"{'Spontaneous abortion, incomplete, without complication'}"
New Acute Patient,-0.16546556518560726,N/A
z856,-0.16539135772830674,{'Personal history of leukaemia'}
s43000,-0.16482099771293626,"{'Anterior dislocation of shoulder, closed'}"
r482,-0.16476643020480725,{'Apraxia'}
1uc75lanva,-0.16367622462645462,"{'Fusion, distal radioulnar joint and carpal joints and bones with bone autograft using pin, nail'}"
1nf54hats,-0.16272168787438762,"{'Management of internal device, stomach of percutaneously inserted gastric tube [PEG]'}"
5ca93gb,-0.16270724398056313,{'Surgical removal of extrauterine pregnancy endoscopic approach total salpingectomy'}
h830,-0.1621810736106141,{'Labyrinthitis'}
h55,-0.1620229237657749,{'Nystagmus and other irregular eye movements'}
z352,-0.16189948300209261,{'Supervision of pregnancy with other poor reproductive or obstetric history'}
2yw71ha,-0.16120711569179574,"{'Biopsy, skin of foot using percutaneous approach (needle, punch)'}"
1rm87bagx,-0.16105600733260808,"{'Excision partial, uterus and surrounding structures endoscopic per orifice approach [hysteroscopic] '}"
1sh87la,-0.15982414073057968,"{'Excision partial, soft tissue of the back using open approach and simple apposition [e.g. suturing] '}"
s52100,-0.15941475582752435,"{'Fracture of head of radius, closed'}"
k0768,-0.1586306853950389,{'Other disorders of temporomandibular joint'}
m331,-0.1585944081228335,{'Other dermatomyositis'}
e1041,0.15763237385878268,{'Type 1 diabetes mellitus with polyneuropathy'}
q180,-0.15757425042746323,"{'Sinus, fistula and cyst of branchial cleft'}"
p128,-0.15716614567045875,{'Other birth injuries to scalp'}
z38100,-0.15704611241019087,"{'Singleton, born outside hospital, product of both spontaneous (NOS) ovulation and conception'}"
o62401,-0.15699839755450623,"{'Hypertonic, incoordinate, and prolonged uterine contractions, delivered, with or without mention of '}"
s901,0.15672590756422414,{'Contusion of toe(s) without damage to nail'}
z515,-0.15630872817562314,"{'Delirium, unspecified', 'Acute renal failure, unspecified', 'Palliative care'}"
g4011,-0.15626600010501362,{'Localization-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple part'}
1nf80laxxe,-0.15591465148738562,"{'Repair, stomach open approach using local transposition flap[e.g. omentum patch]'}"
c608,-0.15570496255215777,{'Overlapping malignant lesion of penis'}
i469,-0.1552147739751726,"{'Cardiac arrest, unspecified'}"
o67801,-0.15501562949180459,"{'Other intrapartum haemorrhage, delivered, with or without mention of antepartum condition'}"
n766,-0.15480178457658658,{'Ulceration of vulva'}
3kg30dd,-0.15459165523819307,"{'Ultrasound, arteries of leg NEC with color flow and Doppler'}"
1vk87da,-0.1541773041117315,"{'Excision partial, meniscus of  knee using endoscopic [arthroscopic] approach'}"
t793,-0.153983410003818,"{'Post-traumatic wound infection, not elsewhere classified'}"
e65,-0.15370388321633952,{'Localized adiposity'}
m2566,-0.15363836298400538,"{'Stiffness of joint, not elsewhere classified, lower leg'}"
s36151,-0.1536005707878411,"{'Liverr haematoma NOS, laceration NOS, injury to liver NOS with open wound into cavity'}"
s92100,-0.15305706647029182,"{'Fracture of talus, closed'}"
i601,-0.15305117863355885,{'Subarachnoid haemorrhage from middle cerebral artery'}
1ha87la,-0.152355866053487,"{'Excision partial, pericardium using open approach'}"
5md54ne,-0.15222628534700453,"{'Vacuum traction, without episiotomy NOS'}"
1gj55cang,-0.15217406716008636,"{'Invalid Code', 'Removal of device, trachea per orifice (or via stoma) approach of (cuffed) endotracheal tube'}"
k251,-0.152101809663759,"{'Gastric ulcer, acute with perforation'}"
1kg80laxxa,-0.1518007246980453,"{'Repair, arteries of leg NEC using open approach with autograft [e.g. vein patch angioplasty]'}"
5pc91gc,-0.15173293186624184,"{'Interventions to uterus (following delivery or abortion), aspiration and curettage'}"
2wa71ha,-0.1516848502810558,"{'Biopsy, ankle joint using percutaneous (needle) approach'}"
1gm13ba,-0.15158546238668238,"{'Control of bleeding, bronchus NEC using endoscopic per orifice approach'}"
p240,-0.15085635903419717,{'Neonatal aspiration of meconium'}
1ub74lanw,-0.1508518137575875,"{'Fixation, wrist joint open approach fixation device alone using plate, screw'}"
z411,-0.14918817270790125,{'Other plastic surgery for unacceptable cosmetic appearance'}
General Surgery,0.14909041795389313,N/A
1va87wj,-0.1489733728526449,"{'Excision partial, hip joint open approach synovectomy or ganglionectomy alone'}"
5md54nf,-0.1482218428173051,{'Vacuum traction with episiotomy NOS'}
p701,-0.14818020389453868,{'Syndrome of infant of a diabetic mother'}
z9480,-0.14812899570286434,{'Bone marrow transplant status'}
q282,-0.1480175554555829,{'Arteriovenous malformation of cerebral vessels'}
q658,-0.14767187076396046,{'Other congenital deformities of hip'}
1gb87baag,-0.14755266417081134,"{'Excision partial, supraglottis using endoscopic per orifice approach and laser'}"
c5030,-0.14729424164859228,{'Malignant neoplasm of lower-inner quadrant of right breast'}
1et80wkxxa,-0.1472602125688808,"{'Repair, nose with autograft using columellar incision approach'}"
1yw87la,-0.14707518332417424,"{'Excision partial, skin of foot open [excisional] approach with apposition technique (suture, glue) f', 'Excision partial, skin of foot open [excisional] approach using local flap [e.g. rotation, advanceme'}"
1ee80lanw,-0.1469539046379268,"{'Repair, mandible open approach using plate, screw device (with/without wire/mesh) no tissue used (fo'}"
1cx80la,-0.14679674063898873,"{'Repair, eyelid NEC no tissue used (for repair) using simple suture [linear repair]'}"
w25,-0.14677026757172115,{'Contact with sharp glass'}
1vg80fy,-0.14670733842423248,"{'Repair, knee joint endoscopic [arthroscopic] approach no tissue used (for repair) with meniscectomy '}"
1kg50labd,-0.1465301989229225,"{'Dilation, arteries of leg NEC using open approach [e.g. arteriotomy] and balloon dilator'}"
2ym71hb,-0.14629351941595212,"{'Biopsy, breast using percutaneous approach and core needle aspiration technique'}"
p928,-0.14588337834252024,{'Other feeding problems of newborn'}
1nf53dats,-0.1457787534109785,"{'Implantation of internal device, stomach of (gastric) tube using endoscopic (laparoscopic) approach'}"
c696,-0.14540217517237045,{'Malignant neoplasm of orbit'}
n119,-0.14526230579929209,"{'Chronic tubulo-interstitial nephritis, unspecified'}"
h160,-0.1450655611927379,{'Corneal ulcer'}
h809,-0.14499531970005464,"{'Otosclerosis, unspecified'}"
v892,-0.14484311091896684,{'Person injured in unspecified traffic motor-vehicle accident'}
1pc52da,-0.144781249179243,"{'Drainage, kidney using endoscopic (percutaneous) approach'}"
n140,-0.14428871465566914,{'Analgesic nephropathy'}
m4846,-0.14417539800476908,"{'Fatigue fracture of vertebra, lumbar region'}"
1ef03jafa,0.14367842973374456,"{'Immobilization, maxilla with mandible using external [closed] approach and encirclage device [e.g. w'}"
n209,-0.14366648495088083,"{'Urinary calculus, unspecified'}"
t213,-0.143630743472616,{'Burn of third degree of trunk'}
1rb87da,-0.14327921679969965,"{'Excision partial, ovary using endoscopic (laparoscopic) approach'}"
o64801,-0.14314445310934518,"{'Obstructed labour due to other malposition and malpresentation, delivered, with or without mention o'}"
s36190,-0.14311478013927845,{'Injury to gallbladder NOS without open wound into cavity'}
k0769,-0.14294951521804866,"{'Temporomandibular joint disorder, unspecified'}"
r110,-0.1427970858727719,{'Projectile vomiting'}
r230,-0.14266444487085694,{'Cyanosis'}
acute_days,-0.1423903481470493,N/A
j205,-0.14217173154015592,{'Acute bronchitis due to respiratory syncytial virus'}
m8411,-0.1421457002444301,"{'Nonunion of fracture [pseudarthrosis], shoulder region'}"
s63110,-0.14120281372585491,"{'Dislocation of interphalangeal (joint) of finger, closed'}"
z353,-0.14105043545647752,{'Supervision of pregnancy with history of insufficient antenatal care'}
c400,-0.1409333882929647,{'Malignant neoplasm scapula and long bones of upper limb'}
1aa52szts,-0.14024372587308165,"{'Drainage, meninges and dura mater of brain open craniotomy [craniectomy] flap approach by leaving dr', 'Drainage, meninges and dura mater of brain open craniotomy/craniectomy flap approach leaving drainag'}"
r1032,-0.14012342304328096,{'Periumbilical pain'}
n762,-0.14001940133848664,{'Acute vulvitis'}
1fj87laxxe,-0.139643661088377,"{'Excision partial, tongue open approach [e.g. transoral or labiomandibular approach] local flap [e.g.'}"
d229,-0.13917857604623957,"{'Melanocytic naevi, unspecified'}"
p033,-0.13904437200943517,{'Fetus and newborn affected by delivery by vacuum extractor [ventouse]'}
c188,-0.1389447623680766,{'Overlapping malignant lesion of colon'}
o69801,-0.13891161078865283,"{'Labour and delivery complicated by other cord complications, delivered, with or without mention of a'}"
m7918,-0.13886006345715726,"{'Myalgia, other site'}"
1wt80la,-0.13878112014046992,"{'Repair by increasing size, tendons of ankle and foot using special (percutaneous multiple) incisiona', 'Repair, tendons of ankle and foot using apposition technique [tendon sutured to tendon] simple repai'}"
1tm80la,-0.13874220303812487,"{'Repair, elbow joint open approach using simple apposition technique only [e.g. suturing]'}"
g048,-0.13874000478592624,"{'Other encephalitis, myelitis and encephalomyelitis'}"
i838,-0.13865826305598372,{'Varicose veins of lower extremities with other complications'}
t130,-0.13836894947527076,"{'Superficial injury of lower limb, level unspecified'}"
j154,-0.13803915680145157,{'Pneumonia due to other streptococci'}
1gz30jh,-0.13802348034801842,"{'Resuscitation, respiratory system NEC using external manual compression technique'}"
1we91la,-0.1377999470939241,"{'Excision radical, tarsal bones and intertarsal joints [hindfoot, midfoot] using open approach'}"
g08,-0.13776559727030024,{'Intracranial and intraspinal phlebitis and thrombophlebitis'}
1fx52la,-0.13771278189200703,"{'Drainage, oropharynx using open (incisional) approach'}"
i711,-0.13759309049549936,"{'Thoracic aortic aneurysm, ruptured'}"
s02490,-0.13754274674909353,"{'Unspecified fracture of malar and maxillary bones, closed'}"
f201,-0.13752689513726443,{'Hebephrenic schizophrenia'}
1vc74hanw,-0.13734004234980593,"{'Fixation, femur using percutaneous approach [e.g with closed reduction or no reduction] using plate/', 'Fixation, femur open approach fixation device alone using intramedullary nail'}"
u077,-0.13716558911241397,"{'COVID-19 vaccines causing adverse effects in therapeutic use', 'Emergency use of U07.7'}"
1pm57cad3,-0.137007660794931,"{'Extraction, bladder using per orifice approach and  irrigating solution'}"
m2456,-0.1369192629851699,"{'Contracture of joint, lower leg'}"
t8766,-0.13684967892536226,{'Other and unspecified complications of above knee amputation stump'}
1ge27ja,-0.13674135632075024,"{'Radiation, larynx NEC using external beam'}"
1ae53seja,-0.13646521397076722,"{'Implantation, thalamus and basal ganglia, of electrodes [e.g. recording, stimulating] using burr hol'}"
i308,-0.13616066855363426,{'Other forms of acute pericarditis'}
1ka50gqoa,-0.13596216107145737,"{'Dilation, abdominal aorta using percutaneous transluminal approach and balloon dilator with (endovas'}"
m8988,-0.13580671960594992,"{'Other specified disorders of bone, other site'}"
g724,-0.13575802442535623,"{'Inflammatory myopathy, not elsewhere classified'}"
g4070,-0.13572270818251747,"{'Petit mal, unspecified, without grand mal seizures, not stated as intractable'}"
m1393,-0.1352836984364246,"{'Arthritis, unspecified, forearm'}"
s92400,-0.1352032332185581,"{'Fracture of great toe, closed'}"
d151,-0.13468594103298176,{'Benign neoplasm of heart'}
1ga87ba,-0.1343963655234603,"{'Excision partial, glottis using endoscopic per orifice approach'}"
2bt71la,-0.13422070213279766,"{'Biopsy, nerves of lower leg using open approach'}"
d143,-0.1338606552187654,{'Benign neoplasm of bronchus and lung'}
e1441,0.13376061616268756,{'Unspecified diabetes mellitus with polyneuropathy'}
2fj71la,-0.1335558776687008,"{'Biopsy, tongue using incisional approach'}"
1nk53cats,-0.13350748723045983,"{'Implantation of internal device, small intestine of feeding tube [jejunal] using per orifice approac'}"
d119,-0.1334800543318957,"{'Benign neoplasm of major salivary gland, unspecified'}"
c411,-0.13322892048967877,{'Malignant neoplasm of mandible'}
m211,-0.13317064027876224,"{'Varus deformity, not elsewhere classified'}"
1et13cabc,-0.13260927332424155,"{'Control of bleeding, nose using per orifice approach and [nasal] balloon'}"
f114,-0.1325720993636729,"{'Mental and behavioural disorders due to use of opioids, withdrawal state with delirium'}"
p289,-0.13217053792089867,"{'Respiratory condition of newborn, unspecified'}"
1sc80haxxn,-0.13212993452393887,"{'Repair, spinal vertebrae using percutaneous approach and (injection of) synthetic material (eg. bone'}"
1il35ha1c,-0.13183616488848046,"{'Pharmacotherapy (local), vessels of heart percutaneous injection approach of thrombolytic agent'}"
y849,-0.13170610796819612,"{'Medical procedure, unspecified,  as the cause of abnormal reaction or later complication, without me'}"
1id80gqnrn,-0.13167461302936118,"{'Repair, aorta NEC using percutaneous transluminal (arterial) approach and (endovascular) stent graft', 'Repair, aorta NEC using percutaneous transluminal approach and (endovascular) stent with synthetic t'}"
1ke51gqw0,-0.13157192290585995,"{'Occlusion, abdominal arteries NEC percutaneous transluminal approach using synthetic agent [e.g. gel'}"
t8157,-0.13149333442593975,"{'Foreign body accidentally left in body cavity or operation wound following a procedure, without ment'}"
d487,-0.13141318881550332,{'Neoplasm of uncertain or unknown behaviour of other specified sites'}
1vg53lapna,-0.13109743043809421,"{'Implantation of internal device, knee joint with combined sources of tissue (e.g. bone graft, cement', 'Implantation of internal device, knee joint with bone autograft dual component prosthetic device', 'Implantation of internal device, knee joint uncemented using dual component prosthetic device'}"
1rb89da,-0.13099139784703712,"{'Excision total, ovary using endoscopic (laparoscopic) approach'}"
t174,-0.13089447179427507,{'Foreign body in trachea'}
a600,-0.1306701281504152,{'Herpesviral infection of genitalia and urogenital tract'}
o41131,-0.13062695180622383,"{'Infection of amniotic sac and membranes, third trimester, delivered, with or without mention of ante'}"
1bt35hap1,-0.1304919169994039,"{'Pharmacotherapy (local), nerve(s) of lower leg using percutaneous (needle) injection of local anesth'}"
s002,-0.13043747553407914,{'Other superficial injuries of eyelid and periocular area'}
s92210,-0.1302642668164721,"{'Fracture of cuboid bone, closed'}"
p819,-0.1301333625657008,"{'Disturbance of temperature regulation of newborn, unspecified'}"
